season,date,home,away,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
1972/73,1972-10-22,FC Barcelona,Athletic Bilbao,1,0,,,,,,,,,,,,,,
1972/73,1972-10-22,Granada CF,Espanyol Barcelona,2,2,,,,,,,,,,,,,,
1972/73,1972-10-22,Real Zaragoza,Real Madrid,0,0,,,,,,,,,,,,,,
1972/73,1972-10-22,Sporting Gijon,Celta Vigo,3,1,,,,,,,,,,,,,,
1972/73,1972-10-22,Valencia CF,Real Oviedo,2,2,,,,,,,,,,,,,,
1972/73,1972-10-29,Athletic Bilbao,Granada CF,0,1,,,,,,,,,,,,,,
1972/73,1972-10-29,CD Castellon,Sporting Gijon,1,0,,,,,,,,,,,,,,
1972/73,1972-10-29,CD Malaga,Atletico Madrid,0,1,,,,,,,,,,,,,,
1972/73,1972-10-29,Celta Vigo,UD Las Palmas,3,1,,,,,,,,,,,,,,
1972/73,1972-10-29,Espanyol Barcelona,Real Zaragoza,3,1,,,,,,,,,,,,,,
1972/73,1972-10-29,Real Betis,Valencia CF,0,0,,,,,,,,,,,,,,
1972/73,1972-10-29,Real Madrid,Deportivo La Coruna,0,0,,,,,,,,,,,,,,
1972/73,1972-10-29,Real Oviedo,Burgos CF,1,0,,,,,,,,,,,,,,
1972/73,1972-10-29,Real Sociedad,FC Barcelona,2,0,,,,,,,,,,,,,,
1972/73,1972-11-04,Atletico Madrid,Celta Vigo,5,1,,,,,,,,,,,,,,
1972/73,1972-11-04,UD Las Palmas,CD Castellon,0,1,,,,,,,,,,,,,,
1972/73,1972-11-05,Burgos CF,Sporting Gijon,2,1,,,,,,,,,,,,,,
1972/73,1972-11-05,Deportivo La Coruna,Espanyol Barcelona,0,0,,,,,,,,,,,,,,
1972/73,1972-11-05,FC Barcelona,CD Malaga,0,0,,,,,,,,,,,,,,
1972/73,1972-11-05,Granada CF,Real Sociedad,2,0,,,,,,,,,,,,,,
1972/73,1972-11-05,Real Oviedo,Real Betis,0,0,,,,,,,,,,,,,,
1972/73,1972-11-05,Real Zaragoza,Athletic Bilbao,3,2,,,,,,,,,,,,,,
1972/73,1972-11-05,Valencia CF,Real Madrid,0,1,,,,,,,,,,,,,,
1972/73,1972-11-12,Athletic Bilbao,Deportivo La Coruna,3,0,,,,,,,,,,,,,,
1972/73,1972-11-12,CD Castellon,Atletico Madrid,1,1,,,,,,,,,,,,,,
1972/73,1972-11-12,CD Malaga,Granada CF,3,0,,,,,,,,,,,,,,
1972/73,1972-11-12,Celta Vigo,FC Barcelona,0,0,,,,,,,,,,,,,,
1972/73,1972-11-12,Espanyol Barcelona,Valencia CF,3,0,,,,,,,,,,,,,,
1972/73,1972-11-12,Real Betis,Burgos CF,5,1,,,,,,,,,,,,,,
1972/73,1972-11-12,Real Madrid,Real Oviedo,3,0,,,,,,,,,,,,,,
1972/73,1972-11-12,Real Sociedad,Real Zaragoza,3,0,,,,,,,,,,,,,,
1972/73,1972-11-12,Sporting Gijon,UD Las Palmas,2,2,,,,,,,,,,,,,,
1972/73,1972-11-19,Atletico Madrid,Sporting Gijon,0,1,,,,,,,,,,,,,,
1972/73,1972-11-19,Burgos CF,UD Las Palmas,3,3,,,,,,,,,,,,,,
1972/73,1972-11-19,Deportivo La Coruna,Real Sociedad,1,2,,,,,,,,,,,,,,
1972/73,1972-11-19,FC Barcelona,CD Castellon,3,1,,,,,,,,,,,,,,
1972/73,1972-11-19,Granada CF,Celta Vigo,1,0,,,,,,,,,,,,,,
1972/73,1972-11-19,Real Betis,Real Madrid,2,1,,,,,,,,,,,,,,
1972/73,1972-11-19,Real Oviedo,Espanyol Barcelona,1,2,,,,,,,,,,,,,,
1972/73,1972-11-19,Real Zaragoza,CD Malaga,1,1,,,,,,,,,,,,,,
1972/73,1972-11-19,Valencia CF,Athletic Bilbao,4,1,,,,,,,,,,,,,,
1972/73,1972-11-25,UD Las Palmas,Atletico Madrid,2,2,,,,,,,,,,,,,,
1972/73,1972-11-26,Athletic Bilbao,Real Oviedo,3,3,,,,,,,,,,,,,,
1972/73,1972-11-26,CD Castellon,Granada CF,0,0,,,,,,,,,,,,,,
1972/73,1972-11-26,CD Malaga,Deportivo La Coruna,4,1,,,,,,,,,,,,,,
1972/73,1972-11-26,Celta Vigo,Real Zaragoza,1,2,,,,,,,,,,,,,,
1972/73,1972-11-26,Espanyol Barcelona,Real Betis,2,2,,,,,,,,,,,,,,
1972/73,1972-11-26,Real Madrid,Burgos CF,2,0,,,,,,,,,,,,,,
1972/73,1972-11-26,Real Sociedad,Valencia CF,2,1,,,,,,,,,,,,,,
1972/73,1972-11-26,Sporting Gijon,FC Barcelona,1,1,,,,,,,,,,,,,,
1972/73,1972-12-03,Burgos CF,Atletico Madrid,0,1,,,,,,,,,,,,,,
1972/73,1972-12-03,Deportivo La Coruna,Celta Vigo,1,0,,,,,,,,,,,,,,
1972/73,1972-12-03,FC Barcelona,UD Las Palmas,3,1,,,,,,,,,,,,,,
1972/73,1972-12-03,Granada CF,Sporting Gijon,1,0,,,,,,,,,,,,,,
1972/73,1972-12-03,Real Betis,Athletic Bilbao,0,0,,,,,,,,,,,,,,
1972/73,1972-12-03,Real Madrid,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1972/73,1972-12-03,Real Oviedo,Real Sociedad,1,1,,,,,,,,,,,,,,
1972/73,1972-12-03,Real Zaragoza,CD Castellon,0,1,,,,,,,,,,,,,,
1972/73,1972-12-03,Valencia CF,CD Malaga,2,1,,,,,,,,,,,,,,
1972/73,1972-12-09,UD Las Palmas,Granada CF,1,0,,,,,,,,,,,,,,
1972/73,1972-12-10,Athletic Bilbao,Real Madrid,2,1,,,,,,,,,,,,,,
1972/73,1972-12-10,Atletico Madrid,FC Barcelona,2,0,,,,,,,,,,,,,,
1972/73,1972-12-10,CD Castellon,Deportivo La Coruna,2,0,,,,,,,,,,,,,,
1972/73,1972-12-10,CD Malaga,Real Oviedo,1,1,,,,,,,,,,,,,,
1972/73,1972-12-10,Celta Vigo,Valencia CF,1,0,,,,,,,,,,,,,,
1972/73,1972-12-10,Espanyol Barcelona,Burgos CF,2,0,,,,,,,,,,,,,,
1972/73,1972-12-10,Real Sociedad,Real Betis,2,1,,,,,,,,,,,,,,
1972/73,1972-12-10,Sporting Gijon,Real Zaragoza,3,0,,,,,,,,,,,,,,
1972/73,1972-12-17,Burgos CF,FC Barcelona,0,0,,,,,,,,,,,,,,
1972/73,1972-12-17,Deportivo La Coruna,Sporting Gijon,2,1,,,,,,,,,,,,,,
1972/73,1972-12-17,Espanyol Barcelona,Athletic Bilbao,0,0,,,,,,,,,,,,,,
1972/73,1972-12-17,Granada CF,Atletico Madrid,0,1,,,,,,,,,,,,,,
1972/73,1972-12-17,Real Betis,CD Malaga,0,1,,,,,,,,,,,,,,
1972/73,1972-12-17,Real Madrid,Real Sociedad,6,1,,,,,,,,,,,,,,
1972/73,1972-12-17,Real Oviedo,Celta Vigo,0,0,,,,,,,,,,,,,,
1972/73,1972-12-17,Real Zaragoza,UD Las Palmas,1,0,,,,,,,,,,,,,,
1972/73,1972-12-17,Valencia CF,CD Castellon,4,2,,,,,,,,,,,,,,
1972/73,1972-12-30,Celta Vigo,Real Betis,0,0,,,,,,,,,,,,,,
1972/73,1972-12-30,Real Sociedad,Espanyol Barcelona,4,1,,,,,,,,,,,,,,
1972/73,1972-12-30,UD Las Palmas,Deportivo La Coruna,3,0,,,,,,,,,,,,,,
1972/73,1972-12-31,Atletico Madrid,Real Zaragoza,0,0,,,,,,,,,,,,,,
1972/73,1972-12-31,Burgos CF,Athletic Bilbao,5,1,,,,,,,,,,,,,,
1972/73,1972-12-31,CD Castellon,Real Oviedo,2,0,,,,,,,,,,,,,,
1972/73,1972-12-31,CD Malaga,Real Madrid,1,0,,,,,,,,,,,,,,
1972/73,1972-12-31,FC Barcelona,Granada CF,3,0,,,,,,,,,,,,,,
1972/73,1972-12-31,Sporting Gijon,Valencia CF,1,1,,,,,,,,,,,,,,
1972/73,1973-01-07,Athletic Bilbao,Real Sociedad,2,1,,,,,,,,,,,,,,
1972/73,1973-01-07,Deportivo La Coruna,Atletico Madrid,1,1,,,,,,,,,,,,,,
1972/73,1973-01-07,Espanyol Barcelona,CD Malaga,1,0,,,,,,,,,,,,,,
1972/73,1973-01-07,Granada CF,Burgos CF,2,0,,,,,,,,,,,,,,
1972/73,1973-01-07,Real Betis,CD Castellon,2,0,,,,,,,,,,,,,,
1972/73,1973-01-07,Real Madrid,Celta Vigo,1,0,,,,,,,,,,,,,,
1972/73,1973-01-07,Real Oviedo,Sporting Gijon,1,0,,,,,,,,,,,,,,
1972/73,1973-01-07,Real Zaragoza,FC Barcelona,0,2,,,,,,,,,,,,,,
1972/73,1973-01-07,Valencia CF,UD Las Palmas,0,0,,,,,,,,,,,,,,
1972/73,1973-01-21,Athletic Bilbao,CD Malaga,2,0,,,,,,,,,,,,,,
1972/73,1973-01-21,Deportivo La Coruna,FC Barcelona,0,1,,,,,,,,,,,,,,
1972/73,1973-01-21,Espanyol Barcelona,Celta Vigo,4,2,,,,,,,,,,,,,,
1972/73,1973-01-21,Real Betis,Sporting Gijon,2,0,,,,,,,,,,,,,,
1972/73,1973-01-21,Real Madrid,CD Castellon,2,0,,,,,,,,,,,,,,
1972/73,1973-01-21,Real Oviedo,UD Las Palmas,3,0,,,,,,,,,,,,,,
1972/73,1973-01-21,Real Sociedad,Burgos CF,5,1,,,,,,,,,,,,,,
1972/73,1973-01-21,Real Zaragoza,Granada CF,2,0,,,,,,,,,,,,,,
1972/73,1973-01-21,Valencia CF,Atletico Madrid,1,2,,,,,,,,,,,,,,
1972/73,1973-01-27,UD Las Palmas,Real Betis,2,0,,,,,,,,,,,,,,
1972/73,1973-01-28,Atletico Madrid,Real Oviedo,2,1,,,,,,,,,,,,,,
1972/73,1973-01-28,Burgos CF,Real Zaragoza,3,0,,,,,,,,,,,,,,
1972/73,1973-01-28,CD Castellon,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1972/73,1973-01-28,CD Malaga,Real Sociedad,3,0,,,,,,,,,,,,,,
1972/73,1973-01-28,Celta Vigo,Athletic Bilbao,1,0,,,,,,,,,,,,,,
1972/73,1973-01-28,FC Barcelona,Valencia CF,0,0,,,,,,,,,,,,,,
1972/73,1973-01-28,Granada CF,Deportivo La Coruna,2,0,,,,,,,,,,,,,,
1972/73,1973-01-28,Sporting Gijon,Real Madrid,1,0,,,,,,,,,,,,,,
1972/73,1973-02-04,Athletic Bilbao,CD Castellon,1,1,,,,,,,,,,,,,,
1972/73,1973-02-04,CD Malaga,Burgos CF,3,0,,,,,,,,,,,,,,
1972/73,1973-02-04,Deportivo La Coruna,Real Zaragoza,0,0,,,,,,,,,,,,,,
1972/73,1973-02-04,Espanyol Barcelona,Sporting Gijon,3,0,,,,,,,,,,,,,,
1972/73,1973-02-04,Real Betis,Atletico Madrid,1,0,,,,,,,,,,,,,,
1972/73,1973-02-04,Real Madrid,UD Las Palmas,2,1,,,,,,,,,,,,,,
1972/73,1973-02-04,Real Oviedo,FC Barcelona,0,0,,,,,,,,,,,,,,
1972/73,1973-02-04,Real Sociedad,Celta Vigo,1,0,,,,,,,,,,,,,,
1972/73,1973-02-04,Valencia CF,Granada CF,0,0,,,,,,,,,,,,,,
1972/73,1973-02-10,UD Las Palmas,Espanyol Barcelona,0,2,,,,,,,,,,,,,,
1972/73,1973-02-11,Atletico Madrid,Real Madrid,1,2,,,,,,,,,,,,,,
1972/73,1973-02-11,Burgos CF,Deportivo La Coruna,0,0,,,,,,,,,,,,,,
1972/73,1973-02-11,CD Castellon,Real Sociedad,3,0,,,,,,,,,,,,,,
1972/73,1973-02-11,Celta Vigo,CD Malaga,1,0,,,,,,,,,,,,,,
1972/73,1973-02-11,FC Barcelona,Real Betis,2,0,,,,,,,,,,,,,,
1972/73,1973-02-11,Granada CF,Real Oviedo,4,0,,,,,,,,,,,,,,
1972/73,1973-02-11,Real Zaragoza,Valencia CF,0,1,,,,,,,,,,,,,,
1972/73,1973-02-11,Sporting Gijon,Athletic Bilbao,2,0,,,,,,,,,,,,,,
1972/73,1973-02-25,Athletic Bilbao,UD Las Palmas,1,0,,,,,,,,,,,,,,
1972/73,1973-02-25,CD Malaga,CD Castellon,1,1,,,,,,,,,,,,,,
1972/73,1973-02-25,Celta Vigo,Burgos CF,1,0,,,,,,,,,,,,,,
1972/73,1973-02-25,Espanyol Barcelona,Atletico Madrid,2,1,,,,,,,,,,,,,,
1972/73,1973-02-25,Real Betis,Granada CF,0,0,,,,,,,,,,,,,,
1972/73,1973-02-25,Real Madrid,FC Barcelona,0,0,,,,,,,,,,,,,,
1972/73,1973-02-25,Real Oviedo,Real Zaragoza,2,0,,,,,,,,,,,,,,
1972/73,1973-02-25,Real Sociedad,Sporting Gijon,0,0,,,,,,,,,,,,,,
1972/73,1973-02-25,Valencia CF,Deportivo La Coruna,0,1,,,,,,,,,,,,,,
1972/73,1973-03-03,UD Las Palmas,Real Sociedad,1,0,,,,,,,,,,,,,,
1972/73,1973-03-04,Atletico Madrid,Athletic Bilbao,2,1,,,,,,,,,,,,,,
1972/73,1973-03-04,Burgos CF,Valencia CF,2,1,,,,,,,,,,,,,,
1972/73,1973-03-04,CD Castellon,Celta Vigo,5,1,,,,,,,,,,,,,,
1972/73,1973-03-04,Deportivo La Coruna,Real Oviedo,1,1,,,,,,,,,,,,,,
1972/73,1973-03-04,FC Barcelona,Espanyol Barcelona,0,1,,,,,,,,,,,,,,
1972/73,1973-03-04,Granada CF,Real Madrid,1,2,,,,,,,,,,,,,,
1972/73,1973-03-04,Real Zaragoza,Real Betis,3,2,,,,,,,,,,,,,,
1972/73,1973-03-04,Sporting Gijon,CD Malaga,2,0,,,,,,,,,,,,,,
1972/73,1973-03-11,Athletic Bilbao,FC Barcelona,0,1,,,,,,,,,,,,,,
1972/73,1973-03-11,CD Malaga,UD Las Palmas,0,1,,,,,,,,,,,,,,
1972/73,1973-03-11,Celta Vigo,Sporting Gijon,3,0,,,,,,,,,,,,,,
1972/73,1973-03-11,Espanyol Barcelona,Granada CF,2,1,,,,,,,,,,,,,,
1972/73,1973-03-11,Real Betis,Deportivo La Coruna,2,0,,,,,,,,,,,,,,
1972/73,1973-03-11,Real Madrid,Real Zaragoza,0,0,,,,,,,,,,,,,,
1972/73,1973-03-11,Real Oviedo,Valencia CF,3,1,,,,,,,,,,,,,,
1972/73,1973-03-11,Real Sociedad,Atletico Madrid,0,1,,,,,,,,,,,,,,
1972/73,1973-03-13,CD Castellon,Burgos CF,3,1,,,,,,,,,,,,,,
1972/73,1973-03-17,UD Las Palmas,Celta Vigo,0,0,,,,,,,,,,,,,,
1972/73,1973-03-18,Atletico Madrid,CD Malaga,1,1,,,,,,,,,,,,,,
1972/73,1973-03-18,Burgos CF,Real Oviedo,0,1,,,,,,,,,,,,,,
1972/73,1973-03-18,Deportivo La Coruna,Real Madrid,0,0,,,,,,,,,,,,,,
1972/73,1973-03-18,FC Barcelona,Real Sociedad,1,0,,,,,,,,,,,,,,
1972/73,1973-03-18,Granada CF,Athletic Bilbao,0,0,,,,,,,,,,,,,,
1972/73,1973-03-18,Real Zaragoza,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1972/73,1973-03-18,Sporting Gijon,CD Castellon,1,0,,,,,,,,,,,,,,
1972/73,1973-03-18,Valencia CF,Real Betis,2,0,,,,,,,,,,,,,,
1972/73,1973-03-24,CD Castellon,UD Las Palmas,2,1,,,,,,,,,,,,,,
1972/73,1973-03-25,Athletic Bilbao,Real Zaragoza,1,0,,,,,,,,,,,,,,
1972/73,1973-03-25,CD Malaga,FC Barcelona,2,1,,,,,,,,,,,,,,
1972/73,1973-03-25,Celta Vigo,Atletico Madrid,0,1,,,,,,,,,,,,,,
1972/73,1973-03-25,Espanyol Barcelona,Deportivo La Coruna,2,1,,,,,,,,,,,,,,
1972/73,1973-03-25,Real Betis,Real Oviedo,0,0,,,,,,,,,,,,,,
1972/73,1973-03-25,Real Madrid,Valencia CF,2,1,,,,,,,,,,,,,,
1972/73,1973-03-25,Real Sociedad,Granada CF,1,0,,,,,,,,,,,,,,
1972/73,1973-03-25,Sporting Gijon,Burgos CF,1,2,,,,,,,,,,,,,,
1972/73,1973-03-31,UD Las Palmas,Sporting Gijon,1,1,,,,,,,,,,,,,,
1972/73,1973-04-01,Atletico Madrid,CD Castellon,1,0,,,,,,,,,,,,,,
1972/73,1973-04-01,Burgos CF,Real Betis,2,1,,,,,,,,,,,,,,
1972/73,1973-04-01,Deportivo La Coruna,Athletic Bilbao,2,1,,,,,,,,,,,,,,
1972/73,1973-04-01,FC Barcelona,Celta Vigo,2,0,,,,,,,,,,,,,,
1972/73,1973-04-01,Granada CF,CD Malaga,2,0,,,,,,,,,,,,,,
1972/73,1973-04-01,Real Oviedo,Real Madrid,1,2,,,,,,,,,,,,,,
1972/73,1973-04-01,Real Zaragoza,Real Sociedad,1,1,,,,,,,,,,,,,,
1972/73,1973-04-01,Valencia CF,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1972/73,1973-04-07,Real Madrid,Real Betis,1,1,,,,,,,,,,,,,,
1972/73,1973-04-07,UD Las Palmas,Burgos CF,4,1,,,,,,,,,,,,,,
1972/73,1973-04-08,Athletic Bilbao,Valencia CF,2,0,,,,,,,,,,,,,,
1972/73,1973-04-08,CD Castellon,FC Barcelona,4,0,,,,,,,,,,,,,,
1972/73,1973-04-08,CD Malaga,Real Zaragoza,2,1,,,,,,,,,,,,,,
1972/73,1973-04-08,Celta Vigo,Granada CF,0,0,,,,,,,,,,,,,,
1972/73,1973-04-08,Espanyol Barcelona,Real Oviedo,3,0,,,,,,,,,,,,,,
1972/73,1973-04-08,Real Sociedad,Deportivo La Coruna,2,0,,,,,,,,,,,,,,
1972/73,1973-04-08,Sporting Gijon,Atletico Madrid,2,3,,,,,,,,,,,,,,
1972/73,1973-04-15,Atletico Madrid,UD Las Palmas,2,1,,,,,,,,,,,,,,
1972/73,1973-04-15,Burgos CF,Real Madrid,2,3,,,,,,,,,,,,,,
1972/73,1973-04-15,Deportivo La Coruna,CD Malaga,1,0,,,,,,,,,,,,,,
1972/73,1973-04-15,FC Barcelona,Sporting Gijon,3,1,,,,,,,,,,,,,,
1972/73,1973-04-15,Granada CF,CD Castellon,1,1,,,,,,,,,,,,,,
1972/73,1973-04-15,Real Betis,Espanyol Barcelona,2,2,,,,,,,,,,,,,,
1972/73,1973-04-15,Real Oviedo,Athletic Bilbao,2,1,,,,,,,,,,,,,,
1972/73,1973-04-15,Real Zaragoza,Celta Vigo,2,2,,,,,,,,,,,,,,
1972/73,1973-04-15,Valencia CF,Real Sociedad,1,0,,,,,,,,,,,,,,
1972/73,1973-04-21,CD Malaga,Valencia CF,1,1,,,,,,,,,,,,,,
1972/73,1973-04-21,Espanyol Barcelona,Real Madrid,1,0,,,,,,,,,,,,,,
1972/73,1973-04-22,Athletic Bilbao,Real Betis,1,1,,,,,,,,,,,,,,
1972/73,1973-04-22,Atletico Madrid,Burgos CF,4,2,,,,,,,,,,,,,,
1972/73,1973-04-22,CD Castellon,Real Zaragoza,1,1,,,,,,,,,,,,,,
1972/73,1973-04-22,Celta Vigo,Deportivo La Coruna,1,0,,,,,,,,,,,,,,
1972/73,1973-04-22,Real Sociedad,Real Oviedo,1,2,,,,,,,,,,,,,,
1972/73,1973-04-22,Sporting Gijon,Granada CF,2,0,,,,,,,,,,,,,,
1972/73,1973-04-22,UD Las Palmas,FC Barcelona,2,1,,,,,,,,,,,,,,
1972/73,1973-04-28,Burgos CF,Espanyol Barcelona,1,1,,,,,,,,,,,,,,
1972/73,1973-04-28,Deportivo La Coruna,CD Castellon,1,1,,,,,,,,,,,,,,
1972/73,1973-04-28,FC Barcelona,Atletico Madrid,0,0,,,,,,,,,,,,,,
1972/73,1973-04-28,Granada CF,UD Las Palmas,1,0,,,,,,,,,,,,,,
1972/73,1973-04-28,Real Betis,Real Sociedad,1,1,,,,,,,,,,,,,,
1972/73,1973-04-28,Real Oviedo,CD Malaga,0,0,,,,,,,,,,,,,,
1972/73,1973-04-28,Real Zaragoza,Sporting Gijon,3,1,,,,,,,,,,,,,,
1972/73,1973-04-28,Valencia CF,Celta Vigo,1,0,,,,,,,,,,,,,,
1972/73,1973-05-05,Athletic Bilbao,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1972/73,1973-05-05,UD Las Palmas,Real Zaragoza,1,1,,,,,,,,,,,,,,
1972/73,1973-05-06,Atletico Madrid,Granada CF,2,1,,,,,,,,,,,,,,
1972/73,1973-05-06,CD Castellon,Valencia CF,1,3,,,,,,,,,,,,,,
1972/73,1973-05-06,CD Malaga,Real Betis,0,0,,,,,,,,,,,,,,
1972/73,1973-05-06,Celta Vigo,Real Oviedo,4,2,,,,,,,,,,,,,,
1972/73,1973-05-06,FC Barcelona,Burgos CF,2,0,,,,,,,,,,,,,,
1972/73,1973-05-06,Real Sociedad,Real Madrid,1,1,,,,,,,,,,,,,,
1972/73,1973-05-06,Sporting Gijon,Deportivo La Coruna,0,0,,,,,,,,,,,,,,
1972/73,1973-05-09,Real Madrid,Athletic Bilbao,3,3,,,,,,,,,,,,,,
1972/73,1973-05-12,Valencia CF,Sporting Gijon,1,0,,,,,,,,,,,,,,
1972/73,1973-05-13,Athletic Bilbao,Burgos CF,4,0,,,,,,,,,,,,,,
1972/73,1973-05-13,Deportivo La Coruna,UD Las Palmas,2,2,,,,,,,,,,,,,,
1972/73,1973-05-13,Espanyol Barcelona,Real Sociedad,1,1,,,,,,,,,,,,,,
1972/73,1973-05-13,Granada CF,FC Barcelona,0,2,,,,,,,,,,,,,,
1972/73,1973-05-13,Real Betis,Celta Vigo,1,0,,,,,,,,,,,,,,
1972/73,1973-05-13,Real Madrid,CD Malaga,2,0,,,,,,,,,,,,,,
1972/73,1973-05-13,Real Oviedo,CD Castellon,0,0,,,,,,,,,,,,,,
1972/73,1973-05-13,Real Zaragoza,Atletico Madrid,1,1,,,,,,,,,,,,,,
1972/73,1973-05-19,CD Malaga,Espanyol Barcelona,0,1,,,,,,,,,,,,,,
1972/73,1973-05-20,Atletico Madrid,Deportivo La Coruna,3,1,,,,,,,,,,,,,,
1972/73,1973-05-20,Burgos CF,Granada CF,2,1,,,,,,,,,,,,,,
1972/73,1973-05-20,CD Castellon,Real Betis,3,1,,,,,,,,,,,,,,
1972/73,1973-05-20,Celta Vigo,Real Madrid,3,0,,,,,,,,,,,,,,
1972/73,1973-05-20,FC Barcelona,Real Zaragoza,1,1,,,,,,,,,,,,,,
1972/73,1973-05-20,Real Sociedad,Athletic Bilbao,1,0,,,,,,,,,,,,,,
1972/73,1973-05-20,Sporting Gijon,Real Oviedo,1,0,,,,,,,,,,,,,,
1972/73,1973-05-20,UD Las Palmas,Valencia CF,1,0,,,,,,,,,,,,,,
1973/74,1973-09-01,Espanyol Barcelona,Real Murcia,3,0,,,,,,,,,,,,,,
1973/74,1973-09-01,Real Madrid,CD Castellon,0,0,,,,,,,,,,,,,,
1973/74,1973-09-01,Real Sociedad,Granada CF,0,2,,,,,,,,,,,,,,
1973/74,1973-09-01,Valencia CF,Real Oviedo,2,1,,,,,,,,,,,,,,
1973/74,1973-09-02,Celta Vigo,Athletic Bilbao,2,1,,,,,,,,,,,,,,
1973/74,1973-09-02,Elche CF,FC Barcelona,1,0,,,,,,,,,,,,,,
1973/74,1973-09-02,Racing Santander,Real Zaragoza,1,1,,,,,,,,,,,,,,
1973/74,1973-09-02,Sporting Gijon,Atletico Madrid,0,3,,,,,,,,,,,,,,
1973/74,1973-09-02,UD Las Palmas,CD Malaga,1,0,,,,,,,,,,,,,,
1973/74,1973-09-08,Athletic Bilbao,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1973/74,1973-09-08,Atletico Madrid,Valencia CF,3,1,,,,,,,,,,,,,,
1973/74,1973-09-08,CD Malaga,Elche CF,3,1,,,,,,,,,,,,,,
1973/74,1973-09-08,Real Murcia,Real Sociedad,1,1,,,,,,,,,,,,,,
1973/74,1973-09-09,CD Castellon,Sporting Gijon,3,2,,,,,,,,,,,,,,
1973/74,1973-09-09,FC Barcelona,Racing Santander,0,0,,,,,,,,,,,,,,
1973/74,1973-09-09,Granada CF,Real Madrid,1,1,,,,,,,,,,,,,,
1973/74,1973-09-09,Real Oviedo,UD Las Palmas,1,0,,,,,,,,,,,,,,
1973/74,1973-09-09,Real Zaragoza,Celta Vigo,2,1,,,,,,,,,,,,,,
1973/74,1973-09-15,Espanyol Barcelona,Real Zaragoza,3,1,,,,,,,,,,,,,,
1973/74,1973-09-15,Real Madrid,Real Murcia,1,1,,,,,,,,,,,,,,
1973/74,1973-09-15,Sporting Gijon,Valencia CF,1,2,,,,,,,,,,,,,,
1973/74,1973-09-15,UD Las Palmas,Atletico Madrid,1,0,,,,,,,,,,,,,,
1973/74,1973-09-16,CD Castellon,Granada CF,1,1,,,,,,,,,,,,,,
1973/74,1973-09-16,Celta Vigo,FC Barcelona,2,1,,,,,,,,,,,,,,
1973/74,1973-09-16,Elche CF,Real Oviedo,1,1,,,,,,,,,,,,,,
1973/74,1973-09-16,Racing Santander,CD Malaga,1,1,,,,,,,,,,,,,,
1973/74,1973-09-16,Real Sociedad,Athletic Bilbao,2,1,,,,,,,,,,,,,,
1973/74,1973-09-22,CD Malaga,Celta Vigo,1,1,,,,,,,,,,,,,,
1973/74,1973-09-22,Valencia CF,UD Las Palmas,2,0,,,,,,,,,,,,,,
1973/74,1973-09-23,Athletic Bilbao,Real Madrid,2,1,,,,,,,,,,,,,,
1973/74,1973-09-23,Atletico Madrid,Elche CF,2,1,,,,,,,,,,,,,,
1973/74,1973-09-23,FC Barcelona,Espanyol Barcelona,3,0,,,,,,,,,,,,,,
1973/74,1973-09-23,Granada CF,Sporting Gijon,1,0,,,,,,,,,,,,,,
1973/74,1973-09-23,Real Murcia,CD Castellon,3,1,,,,,,,,,,,,,,
1973/74,1973-09-23,Real Oviedo,Racing Santander,2,1,,,,,,,,,,,,,,
1973/74,1973-09-23,Real Zaragoza,Real Sociedad,0,0,,,,,,,,,,,,,,
1973/74,1973-09-29,Espanyol Barcelona,CD Malaga,1,1,,,,,,,,,,,,,,
1973/74,1973-09-29,Granada CF,Real Murcia,1,1,,,,,,,,,,,,,,
1973/74,1973-09-29,Real Madrid,Real Zaragoza,4,0,,,,,,,,,,,,,,
1973/74,1973-09-29,Sporting Gijon,UD Las Palmas,1,0,,,,,,,,,,,,,,
1973/74,1973-09-30,CD Castellon,Athletic Bilbao,0,0,,,,,,,,,,,,,,
1973/74,1973-09-30,Celta Vigo,Real Oviedo,5,1,,,,,,,,,,,,,,
1973/74,1973-09-30,Elche CF,Valencia CF,1,0,,,,,,,,,,,,,,
1973/74,1973-09-30,Racing Santander,Atletico Madrid,2,1,,,,,,,,,,,,,,
1973/74,1973-09-30,Real Sociedad,FC Barcelona,2,1,,,,,,,,,,,,,,
1973/74,1973-10-06,UD Las Palmas,Elche CF,3,1,,,,,,,,,,,,,,
1973/74,1973-10-07,Athletic Bilbao,Granada CF,1,0,,,,,,,,,,,,,,
1973/74,1973-10-07,Atletico Madrid,Celta Vigo,2,0,,,,,,,,,,,,,,
1973/74,1973-10-07,CD Malaga,Real Sociedad,2,0,,,,,,,,,,,,,,
1973/74,1973-10-07,FC Barcelona,Real Madrid,0,0,,,,,,,,,,,,,,
1973/74,1973-10-07,Real Murcia,Sporting Gijon,2,1,,,,,,,,,,,,,,
1973/74,1973-10-07,Real Oviedo,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
